Title,Impact Factor,Type,H index
acmtransactionsonintelligentsystemsandtechnology,2.9730000000000003,journal,40
ieeetransactionsonservicescomputing,4.418,journal,48
ieeetransactionsonvisualizationandcomputergraphics,3.0780000000000003,journal,110
journalofmanufacturingtechnologymanagement,2.194,journal,56
internationaljournalofapproximatereasoning,1.766,journal,81
dataminingandknowledgediscovery,2.481,journal,83
photogrammetricrecord,1.9169999999999998,journal,40
mathematicsofcontrolsignalsandsystems,0.875,journal,33
multisensoryresearch,2.339,journal,46
electronicmarkets,3.818,journal,21
artificialintelligencereview,3.8139999999999996,journal,58
journalofenterpriseinformationmanagement,2.4819999999999998,journal,48
annualreviewsincontrol,2.32,journal,64
journalofcomputationalbiology,1.1909999999999998,journal,88
informationsystemsfrontiers,3.2319999999999998,journal,51
modellingandsimulationinmaterialsscienceandengineering,1.7930000000000001,journal,64
ieeetransactionsonmobilecomputing,4.098,journal,116
electroniccommerceresearchandapplications,2.582,journal,60
ieeeintelligenttransportationsystemsmagazine,3.0189999999999997,journal,24
computersandelectronicsinagriculture,2.427,journal,85
queueingsystems,1.171,journal,46
informationsystems,2.551,journal,72
journalofforecasting,0.934,journal,48
mechatronics,2.423,journal,74
telecommunicationspolicy,2.0869999999999997,journal,57
computermethodsandprogramsinbiomedicine,2.674,journal,75
journalofnetworkandcomputerapplications,3.991,journal,68
ieeetransactionsonlearningtechnologies,1.869,journal,36
networksandheterogeneousmedia,1.187,journal,25
ecologicalinformatics,1.82,journal,38
internationaljournalofcomputerintegratedmanufacturing,1.995,journal,44
artificialintelligenceinmedicine,2.8789999999999996,journal,72
internationaljournalofsystemsscience,2.185,journal,59
engineeringapplicationsofcomputationalfluidmechanics,1.9180000000000001,journal,18
ieeetransactionsonvehiculartechnology,4.4319999999999995,journal,136
acmtransactionsondatabasesystems,1.0,journal,74
informationsociety,1.889,journal,68
ieeesignalprocessingletters,2.813,journal,112
acmtransactionsoninformationandsystemsecurity,2.591,journal,73
internationaljournalofappliedmathematicsandcomputerscience,1.694,journal,38
internationaljournalofdigitalearth,2.7460000000000004,journal,30
computationalmethodsandfunctiontheory,0.5710000000000001,journal,8
aslibjournalofinformationmanagement,1.4609999999999999,journal,34
journalofmathematicalimagingandvision,1.9269999999999998,journal,61
biomedicalsignalprocessingandcontrol,2.783,journal,41
internationaljournalofbio-inspiredcomputation,2.266,journal,29
enterpriseinformationsystems,1.683,journal,40
bulletinofmathematicalbiology,1.484,journal,74
computervisionandimageunderstanding,2.391,journal,116
computerizedmedicalimagingandgraphics,2.435,journal,60
roboticsandautonomoussystems,2.638,journal,94
internationaljournalofsimulationmodelling,1.942,journal,18
communicationsoftheacm,3.063,journal,183
swarmintelligence,1.52,journal,28
quantuminformationprocessing,2.283,journal,38
ieeetransactionsoncognitiveanddevelopmentalsystems,1.952,journal,26
internationaljournalofcomputerizeddentistry,1.725,journal,24
internationaljournalofmachinelearningandcybernetics,2.6919999999999997,journal,26
journalofgridcomputing,2.8,journal,43
journalofcomputingincivilengineering,1.798,journal,59
machinelearning,1.855,journal,129
memeticcomputing,1.925,journal,23
acmtransactionsoncomputingeducation,1.535,journal,22
journalofartificialintelligenceresearch,1.2570000000000001,journal,99
mathematicalmethodsofoperationsresearch,0.843,journal,38
simulationmodellingpracticeandtheory,2.092,journal,51
computeraidedgeometricdesign,1.5219999999999998,journal,61
journalofinformationscience,1.939,journal,54
acmtransactionsonknowledgediscoveryfromdata,1.489,journal,40
chemometricsandintelligentlaboratorysystems,2.701,journal,104
knowledgeandinformationsystems,2.247,journal,52
ieeetransactionsoncomputers,3.052,journal,106
journalofcomputerinformationsystems,1.557,journal,51
operationsresearchletters,0.643,journal,63
biologicalcybernetics,1.44,journal,85
integratedcomputer-aidedengineering,3.667,journal,34
internationaljournalofmobilecommunications,1.742,journal,37
complexanalysisandoperatortheory,0.799,journal,15
patternrecognitionletters,1.952,journal,129
interactivelearningenvironments,1.604,journal,31
human-centriccomputingandinformationsciences,1.9669999999999999,journal,21
ieeetransactionsonemergingtopicsincomputing,3.6260000000000003,journal,24
profesionaldelainformacion,1.318,journal,20
journalofautomatedreasoning,1.321,journal,48
internationaljournalofcriticalinfrastructureprotection,2.15,journal,24
journalofeducationalcomputingresearch,1.234,journal,52
informationtechnologyandlibraries,0.968,journal,30
digitalinvestigation,1.771,journal,39
ieeetransactionsonnetworkandservicemanagement,3.286,journal,31
journalofcomputingandinformationscienceinengineering,1.588,journal,43
onlineinformationreview,1.675,journal,46
gamesandculture,1.5,journal,37
appliedclinicalinformatics,1.138,journal,18
journalofmedicalsystems,2.0980000000000003,journal,57
internationaljournalofcontrolautomationandsystems,2.173,journal,42
internationaljournalofcomputerassistedradiologyandsurgery,1.9609999999999999,journal,33
journalofdocumentation,1.157,journal,56
mathematicsandcomputersinsimulation,1.476,journal,61
imageandvisioncomputing,2.1590000000000003,journal,111
gamesforhealthjournal,1.876,journal,16
ieeetransactionsonhuman-machinesystems,2.563,journal,99
appliedintelligence,1.983,journal,49
computergraphicsforum,2.046,journal,94
softcomputing,2.367,journal,56
discretemathematicsandtheoreticalcomputerscience,0.569,journal,18
opticalmaterials,2.32,journal,89
computersinbiologyandmedicine,2.115,journal,68
smartstructuresandsystems,2.231,journal,33
ieeecommunicationsletters,2.7230000000000003,journal,122
theoryanddecision,0.522,journal,30
informationandsoftwaretechnology,2.627,journal,81
journalofadvancedtransportation,1.102,journal,31
computermethodsinbiomechanicsandbiomedicalengineering,1.974,journal,48
cognitiveprocessing,1.15,journal,36
journalofcombinatorialoptimization,0.927,journal,39
engineeringoptimization,1.6219999999999999,journal,52
molecularinformatics,1.955,journal,59
acmtransactionsoncomputationallogic,0.731,journal,43
ieeetransactionsonnanotechnology,2.8569999999999998,journal,69
molecularsimulation,1.449,journal,46
ecologicalpsychology,0.667,journal,42
dynamicgamesandapplications,1.073,journal,14
requirementsengineering,1.75,journal,45
ieeetransactionsonnanobioscience,2.158,journal,53
operationalresearch,1.8159999999999998,journal,13
internationaljournalofcomputationalintelligencesystems,2.0,journal,31
algorithmica,0.667,journal,64
ieeeintelligentsystems,2.596,journal,105
internationaljournalofinformationsecurity,1.6580000000000001,journal,33
designscodesandcryptography,1.114,journal,48
ieeeaccess,3.557,journal,36
speechcommunication,1.585,journal,87
perception,1.371,journal,79
ieeecircuitsandsystemsmagazine,3.9330000000000003,journal,43
journalofcomputerandsystemsciences,1.4969999999999999,journal,78
numericalfunctionalanalysisandoptimization,0.8270000000000001,journal,38
journalofdigitalimaging,1.536,journal,44
computerspeechandlanguage,1.776,journal,58
discreteoptimization,0.48,journal,28
ieeetransactionsonhaptics,1.869,journal,35
circuitssystemsandsignalprocessing,1.9980000000000002,journal,41
acmtransactionsonprogramminglanguagesandsystems,0.759,journal,63
adhocnetworks,3.1510000000000002,journal,73
informationsystemsmanagement,1.255,journal,50
theoryandpracticeoflogicprogramming,0.875,journal,36
human-computerinteraction,3.3789999999999996,journal,62
actainformatica,0.8859999999999999,journal,33
ethicsandinformationtechnology,1.08,journal,40
neuralprocessingletters,1.787,journal,43
internationaljournalofhuman-computerinteraction,1.2590000000000001,journal,51
journalofcomputationalscience,1.925,journal,26
journalofopticalcommunicationsandnetworking,2.742,journal,46
informationandcomputation,1.077,journal,64
journalofvisualcommunicationandimagerepresentation,1.8359999999999999,journal,62
engineering,2.667,journal,8
journalofcomputationalfinance,0.758,journal,8
journalofparallelanddistributedcomputing,1.815,journal,70
computernetworks,2.522,journal,113
internationaljournalofhumanoidrobotics,0.9079999999999999,journal,24
multidimensionalsystemsandsignalprocessing,2.088,journal,30
moleculardiversity,2.229,journal,50
acmtransactionsonsoftwareengineeringandmethodology,1.946,journal,68
ieeetransactionsoncomputationalintelligenceandaiingames,0.897,journal,32
appliedontology,0.774,journal,24
appliedcategoricalstructures,0.32899999999999996,journal,23
flowmeasurementandinstrumentation,1.4069999999999998,journal,46
theoreticalcomputerscience,0.772,journal,100
acmtransactionsonautonomousandadaptivesystems,1.216,journal,33
signalimageandvideoprocessing,1.643,journal,24
engineeringwithcomputers,1.9509999999999998,journal,39
machinevisionandapplications,1.306,journal,53
journalofintelligentinformationsystems,1.107,journal,47
geoinformatica,2.0909999999999997,journal,45
journaloftheoreticalandappliedelectroniccommerceresearch,0.774,journal,21
softwareandsystemsmodeling,1.722,journal,41
journalofsystemsandsoftware,2.278,journal,89
internationaljournaloffuzzysystems,2.396,journal,26
informatica,1.386,journal,28
acmtransactionsonmodelingandcomputersimulation,0.9309999999999999,journal,42
performanceevaluation,1.786,journal,57
internationaljournalofcomputationalmethods,0.805,journal,27
computercommunications,2.613,journal,85
journaloffunctionalprogramming,0.703,journal,45
acmtransactionsonsensornetworks,2.313,journal,54
internationaljournalofcomputermathematics,1.054,journal,38
internationaljournalondocumentanalysisandrecognition,1.298,journal,42
frontiersinneurorobotics,2.6060000000000003,journal,19
graphicalmodels,1.0190000000000001,journal,50
internationaljournalformultiscalecomputationalengineering,1.016,journal,23
sigmodrecord,1.261,journal,128
empiricalsoftwareengineering,2.9330000000000003,journal,54
ieeesoftware,2.8789999999999996,journal,96
ieeetransactionsonverylargescaleintegration(vlsi)systems,1.744,journal,92
optimizationandengineering,1.3519999999999999,journal,31
distributedcomputing,0.84,journal,40
formalmethodsinsystemdesign,0.825,journal,44
engineeringcomputations,1.177,journal,47
electroniclibrary,0.8,journal,32
internationaljournalofmedicalroboticsandcomputerassistedsurgery,1.472,journal,42
journalofsystemsscienceandsystemsengineering,0.7659999999999999,journal,20
photonicsandnanostructures-fundamentalsandapplications,1.575,journal,32
computationaleconomics,1.038,journal,33
universalaccessintheinformationsociety,1.176,journal,34
intelligentservicerobotics,0.9329999999999999,journal,22
ietbiometrics,1.8359999999999999,journal,15
autonomousagentsandmulti-agentsystems,1.176,journal,61
expertsystems,1.43,journal,31
journalofsimulation,1.218,journal,17
aimagazine,1.032,journal,62
acmtransactionsoninternettechnology,1.7269999999999999,journal,47
libraryhitech,0.759,journal,31
acmtransactionsontheweb,1.163,journal,38
informationsystemsande-businessmanagement,1.032,journal,28
advancesinmathematicsofcommunications,0.564,journal,15
computationallinguistics,1.319,journal,82
electroniccommerceresearch,1.489,journal,31
ieeemultimedia,1.8980000000000001,journal,61
i-perception,0.9420000000000001,journal,20
informationtechnologyfordevelopment,1.3869999999999998,journal,27
journalofvisuallanguagesandcomputing,0.971,journal,40
annalsofmathematicsandartificialintelligence,0.899,journal,46
ieeemicro,1.913,journal,84
informationprocessingletters,0.7929999999999999,journal,66
internationaljournaloftechnologymanagement,0.8690000000000001,journal,48
computationalintelligence,1.3519999999999999,journal,44
eurasipjournalonimageandvideoprocessing,1.7369999999999999,journal,28
acmtransactionsonmultimediacomputingcommunicationsandapplications,2.019,journal,39
journalofsupercomputing,1.5319999999999998,journal,42
inverseproblemsinscienceandengineering,1.125,journal,26
visualcomputer,1.036,journal,57
personalandubiquitouscomputing,1.9240000000000002,journal,73
logicalmethodsincomputerscience,0.508,journal,28
journalofbioinformaticsandcomputationalbiology,0.991,journal,38
naturalcomputing,0.86,journal,33
internationaljournalofdesign,1.163,journal,28
computationalcomplexity,0.48700000000000004,journal,32
ietinformationsecurity,0.89,journal,23
journaloflogicandcomputation,0.74,journal,48
internationaljournalofimagingsystemsandtechnology,1.423,journal,41
statisticalanalysisanddatamining,0.865,journal,25
ietsignalprocessing,1.25,journal,30
ieeeinternetcomputing,1.929,journal,101
patternanalysisandapplications,1.281,journal,46
formalaspectsofcomputing,0.845,journal,36
artificiallife,0.897,journal,49
geneticprogrammingandevolvablemachines,1.455,journal,34
rairo-theoreticalinformaticsandapplications,0.35,journal,25
robotica,1.177,journal,56
theoryofcomputingsystems,0.45799999999999996,journal,35
pervasiveandmobilecomputing,2.9739999999999998,journal,50
computerapplicationsinengineeringeducation,1.153,journal,22
internationaljournalofcircuittheoryandapplications,1.444,journal,44
spatialcognitionandcomputation,0.88,journal,26
journaloflogiclanguageandinformation,0.536,journal,27
journalofmolecularmodeling,1.507,journal,57
advancedrobotics,0.961,journal,52
knowledgeengineeringreview,1.07,journal,54
journalofuniversalcomputerscience,1.0659999999999998,journal,47
journalonmultimodaluserinterfaces,1.14,journal,19
internationaljournaloffoundationsofcomputerscience,0.353,journal,33
problemsofinformationtransmission,0.359,journal,15
journalofambientintelligenceandhumanizedcomputing,1.423,journal,19
parallelcomputing,0.938,journal,59
internationaljournalofhighperformancecomputingapplications,2.015,journal,54
journalofcryptology,1.056,journal,64
ieeecomputerarchitectureletters,1.521,journal,27
journaloforganizationalandendusercomputing,0.7440000000000001,journal,27
ietimageprocessing,1.401,journal,29
wirelessnetworks,1.9809999999999999,journal,79
fundamentainformaticae,0.725,journal,57
internationaljournalonsoftwaretoolsfortechnologytransfer,1.077,journal,47
cyberneticsandsystems,1.197,journal,33
journalofinternettechnology,1.301,journal,15
bigdata,1.489,journal,14
internationaljournalofadvancedroboticsystems,0.9520000000000001,journal,34
internationaljournalofcommunicationsystems,1.7169999999999999,journal,37
ieeepervasivecomputing,3.022,journal,88
computationalintelligenceandneuroscience,1.649,journal,37
journaloflogicalandalgebraicmethodsinprogramming,0.634,journal,7
journalofanalyticalmethodsinchemistry,1.262,journal,16
journalofaerospaceinformationsystems,1.095,journal,26
eurasipjournalonadvancesinsignalprocessing,1.639,journal,73
journalofreal-timeimageprocessing,1.574,journal,25
kybernetika,0.632,journal,31
economiccomputationandeconomiccyberneticsstudiesandresearch,0.664,journal,13
studiesininformaticsandcontrol,1.02,journal,14
computerjournal,0.792,journal,52
newreviewofhypermediaandmultimedia,1.0,journal,27
frontiersofcomputerscience,1.105,journal,22
iranianjournaloffuzzysystems,1.27,journal,19
automatedsoftwareengineering,1.806,journal,39
journalofcomputerandsystemssciencesinternational,0.5539999999999999,journal,17
internationaljournalofmodernphysicsc,0.919,journal,54
chinacommunications,1.514,journal,20
softwarequalityjournal,1.5959999999999999,journal,35
multimediasystems,1.703,journal,52
journalofconsciousnessstudies,0.725,journal,57
acmtransactionsonstorage,0.927,journal,33
acmjournalonemergingtechnologiesincomputingsystems,1.672,journal,30
cognitivesystemsresearch,1.425,journal,41
acmtransactionsoncomputer-humaninteraction,0.972,journal,78
eurasipjournalonwirelesscommunicationsandnetworking,2.407,journal,49
scienceofcomputerprogramming,0.74,journal,58
mathematicalstructuresincomputerscience,1.094,journal,35
connectionscience,0.9329999999999999,journal,37
rairo-operationsresearch,0.478,journal,22
internationalarabjournalofinformationtechnology,0.466,journal,19
journalofcomputerscienceandtechnology,0.878,journal,36
virtualreality,1.375,journal,35
nanocommunicationnetworks,2.07,journal,25
displays,1.175,journal,49
opticalswitchingandnetworking,1.113,journal,23
interactingwithcomputers,0.809,journal,70
computeraidedsurgery,1.2,journal,55
malaysianjournalofcomputerscience,0.65,journal,15
kybernetes,0.98,journal,30
controlengineeringandappliedinformatics,0.698,journal,11
ietcomputervision,1.087,journal,25
constraints,0.66,journal,39
multimediatoolsandapplications,1.541,journal,45
acmtransactionsondesignautomationofelectronicsystems,0.87,journal,46
systemsengineering,0.797,journal,39
peer-to-peernetworkingandapplications,1.514,journal,15
securityandcommunicationnetworks,0.904,journal,23
acmtransactionsonreconfigurabletechnologyandsystems,1.014,journal,22
intelligentdataanalysis,0.691,journal,41
acmtransactionsonappliedperception,0.9620000000000001,journal,38
itprofessional,1.618,journal,37
distributedandparalleldatabases,0.925,journal,39
technologyandhealthcare,0.7170000000000001,journal,39
informationvisualization,0.9229999999999999,journal,40
ibmjournalofresearchanddevelopment,0.9620000000000001,journal,89
journalofglobalinformationtechnologymanagement,1.0,journal,27
appliedartificialintelligence,0.5870000000000001,journal,50
journalofcommunicationsandnetworks,1.252,journal,37
internationaljournalofdatawarehousingandmining,0.7809999999999999,journal,19
journalofnetworkandsystemsmanagement,1.75,journal,28
naturallanguageengineering,0.8,journal,48
photonicnetworkcommunications,1.203,journal,30
kineticsandcatalysis,0.9259999999999999,journal,27
ietcommunications,1.443,journal,51
mindsandmachines,0.8420000000000001,journal,31
wirelesspersonalcommunications,1.2,journal,42
databaseforadvancesininformationsystems,0.4,journal,50
digitalscholarshipinthehumanities,0.563,journal,6
biologicallyinspiredcognitivearchitectures,0.787,journal,12
real-timesystems,1.595,journal,50
internationaljournalofwaveletsmultiresolutionandinformationprocessing,0.54,journal,20
internationaljournalofcooperativeinformationsystems,0.2,journal,41
internationaljournalofdistributedsensornetworks,1.787,journal,31
journalofsystemsarchitecture,0.9129999999999999,journal,40
journalofcellularautomata,0.511,journal,11
journalofsystemsengineeringandelectronics,0.5720000000000001,journal,25
ieeelatinamericatransactions,0.502,journal,16
computersystemsscienceandengineering,0.855,journal,23
progressincomputationalfluiddynamics,0.47200000000000003,journal,23
internationaljournalofsensornetworks,0.878,journal,26
interactionstudies,0.867,journal,31
internationaljournalofparallelprogramming,0.897,journal,29
internationaljournalofnetworkmanagement,1.34,journal,23
newgenerationcomputing,0.722,journal,25
internationaljournalofaviationpsychology,0.8240000000000001,journal,37
aicommunications,0.461,journal,34
informationtechnologyandcontrol,0.8,journal,14
microprocessorsandmicrosystems,1.0490000000000002,journal,31
journalofelectronicimaging,0.78,journal,57
journalofimagingscienceandtechnology,0.535,journal,39
modelingidentificationandcontrol,0.667,journal,20
ieicetransactionsoncommunications,1.09,journal,49
journalofmultiple-valuedlogicandsoftcomputing,0.43700000000000006,journal,20
journalofglobalinformationmanagement,0.613,journal,36
internationaljournalofunconventionalcomputing,1.022,journal,15
etrijournal,0.7390000000000001,journal,40
internationaljournalofwebandgridservices,1.071,journal,23
lmsjournalofcomputationandmathematics,0.395,journal,8
computerscienceandinformationsystems,0.613,journal,19
ieeeannalsofthehistoryofcomputing,0.619,journal,20
programmingandcomputersoftware,0.267,journal,13
mobileinformationsystems,0.958,journal,23
mathematicalandcomputermodellingofdynamicalsystems,0.586,journal,28
journalofambientintelligenceandsmartenvironments,0.878,journal,22
ieeecomputergraphicsandapplications,1.64,journal,81
internationaljournalofdataminingandbioinformatics,0.652,journal,17
computeranimationandvirtualworlds,0.6970000000000001,journal,41
computermusicjournal,0.568,journal,35
scientificprogramming,1.344,journal,28
defencesciencejournal,0.51,journal,22
analogintegratedcircuitsandsignalprocessing,0.8,journal,42
internationaljournalofadhocandubiquitouscomputing,0.648,journal,19
ietcomputersanddigitaltechniques,0.639,journal,39
ieeeconsumerelectronicsmagazine,1.4340000000000002,journal,12
turkishjournalofelectricalengineeringandcomputersciences,0.58,journal,23
ietsoftware,0.9470000000000001,journal,37
advancesinelectricalandcomputerengineering,0.6990000000000001,journal,19
computingandinformatics,0.41,journal,23
ieicetransactionsoninformationandsystems,0.5,journal,45
internationaljournalonartificialintelligencetools,0.565,journal,22
transinformacao,0.255,journal,4
ietejournalofresearch,0.8290000000000001,journal,18
computationalandmathematicalorganizationtheory,0.6409999999999999,journal,23
ksiitransactionsoninternetandinformationsystems,0.611,journal,17
intelligentautomationandsoftcomputing,0.652,journal,22
